# background statistics
# All the values except 'a' and 'T00' are computed in the hiclass.
# The quantities rho_x, rho_x_prime are in unit of hiclass, T00 is in the k-evolution code's unit
# Constant values at end of file:
# fourpiG   =             4.172438e-02
# H0[1/Mpc] =             2.253426e-04

# 0:cycle      1:tau/boxsize            2:a                      3:z                      4:H [1/Mpc]              5:Hconf                  6:Hconf_prime            7:Hconf_prime_prime      8:rho_cdm                9:rho_b                  10:rho_g                 11:rho_ur                12:rho_crit              13:rho_smg               14:p_smg                 15:rho_smg_prime         16:p_smg_prime           17:alpha_K               18:alpha_B               19:alpha_K_prime         20:alpha_B_prime         21:cs2                   22:cs2num                23:kin (D)               24:phi(k=0)              25:T00_hom               26:T00_KGB_hom          
 0               1.799567e+00             9.900990e-03             1.000000e+02             1.296539e-01             9.501019e-01             -4.643421e-01            4.659120e-01             1.379994e-02             2.525670e-03             2.863185e-04             1.980662e-04             1.681013e-02             1.394711e-07             -1.255240e-07            -5.371180e-11            4.834062e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.525201e-08            -2.857560e-01            3.000000e+06             0.000000e+00             3.120460e-01             -7.014492e-22           
 1               1.810092e+00             1.000024e-02             9.899760e+01             1.277103e-01             9.452403e-01             -4.594782e-01            4.584283e-01             1.339312e-02             2.451214e-03             2.751199e-04             1.903194e-04             1.630991e-02             1.390544e-07             -1.251490e-07            -5.327730e-11            4.794957e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.523342e-08            -2.857003e-01            3.000000e+06             1.057786e-10             3.120460e-01             1.497660e-19            
 2               1.820671e+00             1.010049e-02             9.800514e+01             1.257959e-01             9.404048e-01             -4.546670e-01            4.511750e-01             1.299829e-02             2.378952e-03             2.643594e-04             1.828756e-04             1.582462e-02             1.386389e-07             -1.247750e-07            -5.284639e-11            4.756175e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.521500e-08            -2.856450e-01            3.000000e+06             2.281488e-10             3.120460e-01             -1.406901e-09           
 3               1.831305e+00             1.020174e-02             9.702253e+01             1.239105e-01             9.355954e-01             -4.499089e-01            4.437354e-01             1.261510e-02             2.308821e-03             2.540198e-04             1.757230e-04             1.535380e-02             1.382247e-07             -1.244022e-07            -5.241903e-11            4.717713e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.519676e-08            -2.855903e-01            3.000000e+06             3.518769e-10             3.120460e-01             -1.661276e-09           
 4               1.841993e+00             1.030400e-02             9.604968e+01             1.220534e-01             9.308118e-01             -4.452026e-01            4.368717e-01             1.224321e-02             2.240757e-03             2.440845e-04             1.688501e-04             1.489704e-02             1.378117e-07             -1.240305e-07            -5.199520e-11            4.679568e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.517868e-08            -2.855361e-01            3.000000e+06             4.741563e-10             3.120460e-01             -1.718373e-09           
 5               1.852737e+00             1.040729e-02             9.508648e+01             1.202244e-01             9.260539e-01             -4.405478e-01            4.296856e-01             1.188228e-02             2.174700e-03             2.345378e-04             1.622460e-04             1.445390e-02             1.374000e-07             -1.236600e-07            -5.157487e-11            4.641738e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.516078e-08            -2.854823e-01            3.000000e+06             5.944815e-10             3.120460e-01             -1.738587e-09           
 6               1.863535e+00             1.051162e-02             9.413284e+01             1.184229e-01             9.213216e-01             -4.359441e-01            4.229906e-01             1.153199e-02             2.110590e-03             2.253646e-04             1.559002e-04             1.402398e-02             1.369894e-07             -1.232905e-07            -5.115800e-11            4.604220e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.514303e-08            -2.854291e-01            3.000000e+06             7.128057e-10             3.120460e-01             -1.751616e-09           
 7               1.874389e+00             1.061699e-02             9.318866e+01             1.166486e-01             9.166147e-01             -4.313903e-01            4.161851e-01             1.119203e-02             2.048370e-03             2.165501e-04             1.498026e-04             1.360689e-02             1.365801e-07             -1.229221e-07            -5.074456e-11            4.567011e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.512545e-08            -2.853764e-01            3.000000e+06             8.291703e-10             3.120460e-01             -1.763394e-09           
 8               1.885299e+00             1.072342e-02             9.225385e+01             1.149010e-01             9.119330e-01             -4.268866e-01            4.095202e-01             1.086209e-02             1.987984e-03             2.080803e-04             1.439435e-04             1.320223e-02             1.361720e-07             -1.225548e-07            -5.033454e-11            4.530108e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.510803e-08            -2.853241e-01            3.000000e+06             9.436320e-10             3.120460e-01             -1.775082e-09           
 9               1.896265e+00             1.083091e-02             9.132832e+01             1.131797e-01             9.072763e-01             -4.224315e-01            4.030776e-01             1.054187e-02             1.929378e-03             1.999418e-04             1.383135e-04             1.280964e-02             1.357652e-07             -1.221887e-07            -4.992789e-11            4.493510e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.509078e-08            -2.852724e-01            3.000000e+06             1.056248e-09             3.120460e-01             -1.786889e-09           
 10              1.907287e+00             1.093949e-02             9.041198e+01             1.114843e-01             9.026446e-01             -4.180253e-01            3.964497e-01             1.023110e-02             1.872500e-03             1.921216e-04             1.329038e-04             1.242876e-02             1.353595e-07             -1.218236e-07            -4.952459e-11            4.457213e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.507368e-08            -2.852211e-01            3.000000e+06             1.167073e-09             3.120460e-01             -1.798842e-09           
 11              1.918365e+00             1.104915e-02             8.950473e+01             1.098145e-01             8.980377e-01             -4.136668e-01            3.903530e-01             9.929486e-03             1.817299e-03             1.846073e-04             1.277056e-04             1.205923e-02             1.349551e-07             -1.214596e-07            -4.912461e-11            4.421215e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.505674e-08            -2.851702e-01            3.000000e+06             1.276161e-09             3.120460e-01             -1.810939e-09           
 12              1.929501e+00             1.115991e-02             8.860648e+01             1.081699e-01             8.934554e-01             -4.093557e-01            3.839659e-01             9.636764e-03             1.763725e-03             1.773869e-04             1.227107e-04             1.170072e-02             1.345519e-07             -1.210967e-07            -4.872792e-11            4.385513e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.503996e-08            -2.851199e-01            3.000000e+06             1.383565e-09             3.120460e-01             -1.823172e-09           
 13              1.940693e+00             1.127178e-02             8.771715e+01             1.065500e-01             8.888977e-01             -4.050917e-01            3.780011e-01             9.352672e-03             1.711730e-03             1.704489e-04             1.179112e-04             1.135290e-02             1.341498e-07             -1.207349e-07            -4.833449e-11            4.350104e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.502333e-08            -2.850700e-01            3.000000e+06             1.489334e-09             3.120460e-01             -1.835537e-09           
 14              1.951943e+00             1.138477e-02             8.683664e+01             1.049545e-01             8.843642e-01             -4.008735e-01            3.719521e-01             9.076954e-03             1.661268e-03             1.637822e-04             1.132994e-04             1.101544e-02             1.337490e-07             -1.203741e-07            -4.794430e-11            4.314987e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.500686e-08            -2.850206e-01            3.000000e+06             1.593517e-09             3.120460e-01             -1.848030e-09           
 15              1.963251e+00             1.149890e-02             8.596487e+01             1.033830e-01             8.798550e-01             -3.967016e-01            3.660121e-01             8.809365e-03             1.612293e-03             1.573763e-04             1.088680e-04             1.068804e-02             1.333494e-07             -1.200145e-07            -4.755732e-11            4.280159e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.499053e-08            -2.849716e-01            3.000000e+06             1.696164e-09             3.120460e-01             -1.860650e-09           
 16              1.974616e+00             1.161417e-02             8.510176e+01             1.018351e-01             8.753698e-01             -3.925745e-01            3.602854e-01             8.549663e-03             1.564763e-03             1.512209e-04             1.046099e-04             1.037039e-02             1.329510e-07             -1.196559e-07            -4.717352e-11            4.245617e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.497436e-08            -2.849231e-01            3.000000e+06             1.797319e-09             3.120460e-01             -1.873395e-09           
 17              1.986040e+00             1.173059e-02             8.424720e+01             1.003106e-01             8.709085e-01             -3.884924e-01            3.543764e-01             8.297618e-03             1.518633e-03             1.453063e-04             1.005184e-04             1.006221e-02             1.325537e-07             -1.192984e-07            -4.679287e-11            4.211359e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.495834e-08            -2.848750e-01            3.000000e+06             1.897030e-09             3.120460e-01             -1.886265e-09           
 18              1.997522e+00             1.184818e-02             8.340113e+01             9.880895e-02             8.664709e-01             -3.844543e-01            3.489570e-01             8.053003e-03             1.473864e-03             1.396230e-04             9.658685e-05             9.763209e-03             1.321577e-07             -1.189419e-07            -4.641535e-11            4.177382e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.494246e-08            -2.848274e-01            3.000000e+06             1.995340e-09             3.120460e-01             -1.899260e-09           
 19              2.009063e+00             1.196695e-02             8.256346e+01             9.732993e-02             8.620570e-01             -3.804598e-01            3.432763e-01             7.815599e-03             1.430414e-03             1.341620e-04             9.280909e-05             9.473116e-03             1.317628e-07             -1.185865e-07            -4.604093e-11            4.143684e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.492673e-08            -2.847802e-01            3.000000e+06             2.092292e-09             3.120460e-01             -1.912381e-09           
 20              2.020663e+00             1.208691e-02             8.173410e+01             9.587316e-02             8.576666e-01             -3.765087e-01            3.379581e-01             7.585194e-03             1.388245e-03             1.289146e-04             8.917910e-05             9.191664e-03             1.313691e-07             -1.182322e-07            -4.566958e-11            4.110262e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.491115e-08            -2.847335e-01            3.000000e+06             2.187930e-09             3.120460e-01             -1.925627e-09           
 21              2.032323e+00             1.220808e-02             8.091297e+01             9.443831e-02             8.532996e-01             -3.726000e-01            3.325779e-01             7.361580e-03             1.347319e-03             1.238724e-04             8.569108e-05             8.918594e-03             1.309766e-07             -1.178789e-07            -4.530128e-11            4.077115e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.489570e-08            -2.846871e-01            3.000000e+06             2.282295e-09             3.120460e-01             -1.938999e-09           
 22              2.044042e+00             1.233046e-02             8.009999e+01             9.302503e-02             8.489557e-01             -3.687338e-01            3.272801e-01             7.144559e-03             1.307600e-03             1.190274e-04             8.233948e-05             8.653657e-03             1.305853e-07             -1.175267e-07            -4.493600e-11            4.044240e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.488041e-08            -2.846412e-01            3.000000e+06             2.375427e-09             3.120460e-01             -1.952499e-09           
 23              2.055821e+00             1.245406e-02             7.929508e+01             9.163301e-02             8.446349e-01             -3.649089e-01            3.221864e-01             6.933936e-03             1.269052e-03             1.143720e-04             7.911897e-05             8.396609e-03             1.301951e-07             -1.171756e-07            -4.457372e-11            4.011635e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.486525e-08            -2.845958e-01            3.000000e+06             2.467366e-09             3.120460e-01             -1.966127e-09           
 24              2.067661e+00             1.257891e-02             7.849816e+01             9.026192e-02             8.403370e-01             -3.611255e-01            3.169146e-01             6.729522e-03             1.231640e-03             1.098986e-04             7.602442e-05             8.147214e-03             1.298061e-07             -1.168255e-07            -4.421440e-11            3.979296e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.485023e-08            -2.845507e-01            3.000000e+06             2.558150e-09             3.120460e-01             -1.979884e-09           
 25              2.079561e+00             1.270500e-02             7.770914e+01             8.891144e-02             8.360620e-01             -3.573828e-01            3.120941e-01             6.531133e-03             1.195331e-03             1.056002e-04             7.305090e-05             7.905245e-03             1.294182e-07             -1.164764e-07            -4.385804e-11            3.947223e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.483535e-08            -2.845061e-01            3.000000e+06             2.647819e-09             3.120460e-01             -1.993772e-09           
 26              2.091522e+00             1.283236e-02             7.692796e+01             8.758127e-02             8.318096e-01             -3.536801e-01            3.070383e-01             6.338594e-03             1.160092e-03             1.014699e-04             7.019369e-05             7.670478e-03             1.290315e-07             -1.161284e-07            -4.350459e-11            3.915413e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.482060e-08            -2.844618e-01            3.000000e+06             2.736408e-09             3.120460e-01             -2.007790e-09           
 27              2.103544e+00             1.296100e-02             7.615453e+01             8.627108e-02             8.275797e-01             -3.500176e-01            3.022934e-01             6.151730e-03             1.125892e-03             9.750110e-05             6.744823e-05             7.442700e-03             1.286460e-07             -1.157814e-07            -4.315404e-11            3.883863e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.480599e-08            -2.844180e-01            3.000000e+06             2.823955e-09             3.120460e-01             -2.021942e-09           
 28              2.115627e+00             1.309093e-02             7.538877e+01             8.498059e-02             8.233723e-01             -3.463941e-01            2.975048e-01             5.970375e-03             1.092700e-03             9.368757e-05             6.481014e-05             7.221701e-03             1.282616e-07             -1.154355e-07            -4.280635e-11            3.852572e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.479151e-08            -2.843746e-01            3.000000e+06             2.910494e-09             3.120460e-01             -2.036227e-09           
 29              2.127772e+00             1.322216e-02             7.463062e+01             8.370950e-02             8.191871e-01             -3.428099e-01            2.927767e-01             5.794366e-03             1.060487e-03             9.002320e-05             6.227524e-05             7.007280e-03             1.278784e-07             -1.150906e-07            -4.246152e-11            3.821537e-11             3.000000e+06             4.000000e-01             0.000000e+00             0.000000e+00             -9.477717e-08            -2.843315e-01            3.000000e+06             2.996061e-09             3.120460e-01             -2.050646e-09           
