# power spectrum of B
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   2.554913e-16   0.000000e+00   3.403923e-17   6
  1.777153e-02   2.772589e-16   0.000000e+00   3.735988e-17   12
  2.176559e-02   2.019048e-16   2.384186e-10   6.242741e-17   8
  2.513274e-02   2.192855e-16   0.000000e+00   5.568011e-17   6
  2.809926e-02   3.749068e-16   0.000000e+00   5.288403e-17   24
  3.078120e-02   1.870091e-16   4.495664e-10   1.897410e-17   24
  3.554306e-02   1.863020e-16   0.000000e+00   2.686253e-17   12
  3.769911e-02   2.338421e-16   5.086263e-10   4.109742e-17   30
  3.973835e-02   2.404680e-16   0.000000e+00   2.643405e-17   24
  4.167794e-02   3.757482e-16   7.786718e-10   5.559161e-17   24
  4.353118e-02   2.233496e-16   4.768372e-10   4.933538e-17   8
  4.530869e-02   1.451623e-16   6.357829e-10   2.256344e-17   24
  4.701905e-02   2.395289e-16   0.000000e+00   2.231385e-17   48
  5.026548e-02   1.808724e-16   0.000000e+00   3.065421e-17   6
  5.181247e-02   1.990179e-16   8.991328e-10   2.162784e-17   48
  5.331460e-02   2.442490e-16   0.000000e+00   1.751735e-17   36
  5.477554e-02   1.332515e-16   6.357829e-10   2.254516e-17   24
  5.619852e-02   2.068532e-16   0.000000e+00   3.255643e-17   24
  5.758634e-02   1.598325e-16   0.000000e+00   1.390293e-17   48
  5.894150e-02   1.283836e-16   8.991328e-10   1.564848e-17   24
  6.156239e-02   1.413097e-16   8.991328e-10   2.046319e-17   24
  6.283185e-02   1.600886e-16   0.000000e+00   1.867264e-17   30
  6.407617e-02   1.724800e-16   0.000000e+00   1.341376e-17   72
  6.529678e-02   2.344178e-16   9.536743e-10   2.561641e-17   32
  6.767198e-02   1.797582e-16   0.000000e+00   1.231607e-17   72
  6.882885e-02   1.462992e-16   0.000000e+00   1.439050e-17   48
  7.108613e-02   5.596627e-17   0.000000e+00   8.307979e-18   12
  7.218830e-02   1.310997e-16   0.000000e+00   1.018158e-17   48
  7.327390e-02   1.212041e-16   0.000000e+00   1.202659e-17   48
  7.434365e-02   1.037689e-16   8.991328e-10   8.268060e-18   48
  7.539822e-02   1.108942e-16   1.017253e-09   1.052158e-17   30
  7.643825e-02   1.106820e-16   8.991328e-10   2.357789e-17   24
  7.746431e-02   1.196610e-16   1.895538e-09   1.204873e-17   72
  7.947671e-02   1.327022e-16   0.000000e+00   1.876444e-17   24
  8.046403e-02   1.174083e-16   0.000000e+00   7.300104e-18   96
  8.143939e-02   1.173804e-16   0.000000e+00   1.079898e-17   48
  8.240320e-02   1.240499e-16   1.557344e-09   9.437771e-18   24
  8.335587e-02   1.036087e-16   1.557344e-09   1.704006e-17   24
  8.429778e-02   1.135758e-16   0.000000e+00   1.033639e-17   72
  8.522927e-02   1.082515e-16   0.000000e+00   9.055125e-18   48
  8.706237e-02   1.070501e-16   9.536743e-10   1.228924e-17   8
  8.796459e-02   8.560311e-17   1.130281e-09   9.949717e-18   54
  8.885766e-02   8.700684e-17   0.000000e+00   6.919545e-18   84
  8.974184e-02   9.392423e-17   0.000000e+00   5.983630e-18   48
  9.061739e-02   1.317222e-16   1.271566e-09   1.552094e-17   24
  9.148456e-02   1.013994e-16   1.198844e-09   7.102222e-18   72
  9.234359e-02   8.351005e-17   0.000000e+00   6.554107e-18   96
  9.403811e-02   5.319068e-17   0.000000e+00   5.926017e-18   48
  9.487402e-02   7.572028e-17   0.000000e+00   7.063605e-18   48
  9.570263e-02   5.793685e-17   1.271566e-09   7.012922e-18   24
  9.652412e-02   7.926456e-17   0.000000e+00   5.928969e-18   72
  9.814649e-02   7.093950e-17   1.198844e-09   6.438170e-18   72
  9.894770e-02   6.936488e-17   0.000000e+00   4.809811e-18   96
  1.005310e-01   6.766170e-17   0.000000e+00   3.956674e-18   6
  1.013133e-01   7.128714e-17   0.000000e+00   5.473663e-18   96
  1.020897e-01   5.890979e-17   1.271566e-09   4.325178e-18   96
  1.028602e-01   5.762021e-17   0.000000e+00   9.110576e-18   24
  1.036249e-01   5.726805e-17   1.798266e-09   5.643716e-18   48
  1.043841e-01   4.973338e-17   0.000000e+00   3.424106e-18   96
  1.051378e-01   5.997238e-17   0.000000e+00   4.773481e-18   48
  1.066292e-01   5.219395e-17   0.000000e+00   8.498126e-18   36
  1.073671e-01   6.756650e-17   2.202416e-09   6.814182e-18   48
  1.081000e-01   6.307159e-17   2.491750e-09   4.162875e-18   120
  1.088280e-01   4.480392e-17   0.000000e+00   4.257221e-18   56
  1.095511e-01   5.695360e-17   1.271566e-09   4.703618e-18   24
  1.102695e-01   5.295532e-17   0.000000e+00   4.676794e-18   96
  1.109832e-01   4.702029e-17   0.000000e+00   5.720865e-18   48
  1.123970e-01   8.249462e-17   0.000000e+00   1.322077e-17   24
  1.130973e-01   5.198036e-17   0.000000e+00   3.731212e-18   102
  1.137933e-01   4.429000e-17   0.000000e+00   3.978525e-18   48
  1.144851e-01   4.843608e-17   0.000000e+00   4.793402e-18   72
  1.151727e-01   5.098897e-17   0.000000e+00   6.545508e-18   48
  1.158562e-01   5.186261e-17   0.000000e+00   4.849439e-18   48
  1.165357e-01   4.475943e-17   2.877225e-09   3.378833e-18   120
  1.178830e-01   2.795228e-17   1.798266e-09   3.839441e-18   24
  1.185509e-01   4.502475e-17   1.695421e-09   2.672303e-18   144
  1.192151e-01   4.272303e-17   2.034505e-09   2.812951e-18   120
  1.198755e-01   4.558212e-17   1.798266e-09   4.099564e-18   48
  1.211857e-01   4.609546e-17   1.798266e-09   3.768981e-18   48
  1.218355e-01   4.590996e-17   1.798266e-09   3.291488e-18   96
  1.235512e-01   3.422221e-17   3.015167e-04   2.970159e-18   72
  1.244007e-01   3.920375e-17   2.260561e-09   2.697304e-18   108
  1.250338e-01   3.902489e-17   0.000000e+00   3.589092e-18   72
  1.256637e-01   3.623595e-17   0.000000e+00   6.043896e-18   30
  1.262905e-01   3.700019e-17   0.000000e+00   1.873868e-18   168
  1.269141e-01   4.322720e-17   0.000000e+00   5.759730e-18   48
  1.281523e-01   4.403283e-17   0.000000e+00   3.252567e-18   72
  1.287670e-01   3.611566e-17   0.000000e+00   2.724010e-18   96
  1.293787e-01   4.119100e-17   3.390842e-09   3.266723e-18   72
  1.299875e-01   3.909556e-17   0.000000e+00   3.553118e-18   72
  1.310112e-01   4.153324e-17   2.784031e-04   2.932159e-18   104
  1.317972e-01   3.897462e-17   2.397687e-09   2.522724e-18   144
  1.335824e-01   3.833913e-17   4.021044e-09   2.738166e-18   96
  1.341721e-01   3.207975e-17   0.000000e+00   2.401480e-18   96
  1.351101e-01   3.453065e-17   2.864148e-04   2.143975e-18   120
  1.359261e-01   3.676947e-17   0.000000e+00   2.334762e-18   120
  1.365057e-01   3.233680e-17   0.000000e+00   2.665275e-18   72
  1.376577e-01   4.388265e-17   0.000000e+00   3.987758e-18   48
  1.382301e-01   3.165457e-17   2.710666e-09   2.621005e-18   78
  1.389623e-01   3.161684e-17   2.564571e-04   2.026465e-18   168
  1.404963e-01   2.852371e-17   2.397687e-09   1.592238e-18   144
  1.410572e-01   4.284657e-17   2.397687e-09   2.659035e-18   144
  1.426839e-01   2.806901e-17   1.476986e-04   1.794832e-18   156
  1.432787e-01   3.288537e-17   3.114687e-09   3.520591e-18   48
  1.438287e-01   3.382398e-17   2.034505e-09   2.325241e-18   120
  1.443766e-01   2.610958e-17   0.000000e+00   2.379281e-18   48
  1.453454e-01   2.798551e-17   2.260797e-04   1.295709e-18   216
  1.465478e-01   2.796740e-17   0.000000e+00   2.183751e-18   48
  1.470856e-01   3.056983e-17   1.798266e-09   2.198851e-18   96
  1.478502e-01   2.388924e-17   2.642094e-04   1.101163e-18   168
  1.486873e-01   2.739014e-17   1.798266e-09   2.996280e-18   48
  1.492174e-01   3.056365e-17   0.000000e+00   2.057052e-18   96
  1.497456e-01   2.015388e-17   0.000000e+00   1.956076e-18   48
  1.507964e-01   2.063630e-17   2.034505e-09   2.160411e-18   30
  1.513191e-01   2.881161e-17   1.798266e-09   2.326417e-18   96
  1.519439e-01   2.386120e-17   2.076451e-04   1.055788e-18   240
  1.527472e-01   2.890409e-17   2.240191e-04   4.327757e-18   32
  1.533921e-01   2.222538e-17   0.000000e+00   1.302038e-18   168
  1.539060e-01   2.563059e-17   0.000000e+00   1.529747e-18   120
  1.549286e-01   2.876324e-17   3.791077e-09   2.527990e-18   72
  1.554374e-01   2.301188e-17   2.397687e-09   1.555922e-18   144
  1.559446e-01   2.237576e-17   0.000000e+00   1.911207e-18   96
  1.564501e-01   1.871309e-17   0.000000e+00   1.834109e-18   96
  1.574562e-01   2.601589e-17   2.936555e-09   2.559613e-18   72
  1.579568e-01   2.083893e-17   2.543132e-09   1.542997e-18   96
  1.589534e-01   2.051569e-17   0.000000e+00   1.601323e-18   24
  1.594494e-01   2.098919e-17   0.000000e+00   1.085449e-18   192
  1.600334e-01   1.793519e-17   1.901066e-04   9.732216e-19   132
  1.609281e-01   2.191481e-17   0.000000e+00   1.640878e-18   96
  1.614180e-01   2.051166e-17   0.000000e+00   1.437268e-18   96
  1.619064e-01   1.632532e-17   2.034505e-09   1.136420e-18   120
  1.628788e-01   1.235714e-17   0.000000e+00   1.372003e-18   48
  1.636759e-01   2.269168e-17   2.303939e-04   1.176990e-18   222
  1.643266e-01   2.198957e-17   0.000000e+00   1.353901e-18   120
  1.648064e-01   2.150756e-17   3.114687e-09   3.883814e-18   24
  1.655050e-01   2.096202e-17   2.378000e-04   1.081604e-18   312
  1.670270e-01   1.895989e-17   2.229470e-04   1.760265e-18   72
  1.676563e-01   2.113788e-17   1.798266e-09   1.499483e-18   96
  1.683024e-01   1.729268e-17   2.270407e-04   1.008964e-18   192
  1.690632e-01   1.606274e-17   2.877225e-09   1.184921e-18   120
  1.695296e-01   2.031411e-17   0.000000e+00   1.066946e-18   144
  1.704585e-01   1.819994e-17   0.000000e+00   2.096600e-18   48
  1.711188e-01   1.682321e-17   2.282974e-04   7.257998e-19   336
  1.718425e-01   1.691396e-17   0.000000e+00   2.115825e-18   48
  1.727590e-01   1.699915e-17   0.000000e+00   1.104912e-18   192
  1.732155e-01   1.324828e-17   0.000000e+00   1.427220e-18   48
  1.745129e-01   1.617211e-17   1.584683e-04   1.414096e-18   56
  1.751580e-01   1.561647e-17   2.035272e-04   6.292848e-19   336
  1.759292e-01   1.483948e-17   2.260561e-09   1.320374e-18   54
  1.766010e-01   1.762077e-17   2.235459e-04   9.295831e-19   240
  1.779956e-01   1.657991e-17   2.140470e-04   9.853627e-19   228
