# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   1.191758e-03   0.000000e+00   4.535550e-04   6
  1.777153e-02   8.499703e-03   0.000000e+00   1.928564e-03   12
  2.176559e-02   1.090153e-02   2.384186e-10   3.176541e-03   8
  2.513274e-02   1.755128e-02   0.000000e+00   4.796886e-03   6
  2.809926e-02   2.222646e-02   0.000000e+00   2.982504e-03   24
  3.078120e-02   2.731592e-02   4.495664e-10   5.509687e-03   24
  3.554306e-02   1.303115e-02   0.000000e+00   3.161756e-03   12
  3.769911e-02   4.274586e-02   5.086263e-10   4.822377e-03   30
  3.973835e-02   3.086546e-02   0.000000e+00   5.861624e-03   24
  4.167794e-02   4.494526e-02   7.786718e-10   9.198417e-03   24
  4.353118e-02   1.014899e-01   4.768372e-10   3.713282e-02   8
  4.530869e-02   4.736398e-02   6.357829e-10   8.995248e-03   24
  4.701905e-02   4.650862e-02   0.000000e+00   5.455052e-03   48
  5.026548e-02   4.835352e-02   0.000000e+00   2.356759e-03   6
  5.181247e-02   8.597006e-02   8.991328e-10   9.580974e-03   48
  5.331460e-02   8.674950e-02   0.000000e+00   1.307652e-02   36
  5.477554e-02   4.868827e-02   6.357829e-10   1.346208e-02   24
  5.619852e-02   6.682791e-02   0.000000e+00   1.113157e-02   24
  5.758634e-02   8.055043e-02   0.000000e+00   1.127180e-02   48
  5.894150e-02   1.391259e-01   8.991328e-10   2.753075e-02   24
  6.156239e-02   9.578473e-02   8.991328e-10   2.062027e-02   24
  6.283185e-02   1.241769e-01   0.000000e+00   2.205112e-02   30
  6.407617e-02   1.304365e-01   0.000000e+00   1.356398e-02   72
  6.529678e-02   1.555625e-01   9.536743e-10   2.565140e-02   32
  6.767198e-02   1.246056e-01   0.000000e+00   1.996717e-02   72
  6.882885e-02   1.306366e-01   0.000000e+00   1.734091e-02   48
  7.108613e-02   8.311182e-02   0.000000e+00   1.654103e-02   12
  7.218830e-02   1.767231e-01   0.000000e+00   2.381093e-02   48
  7.327390e-02   1.775772e-01   0.000000e+00   2.618883e-02   48
  7.434365e-02   1.231401e-01   8.991328e-10   1.883918e-02   48
  7.539822e-02   1.318657e-01   1.017253e-09   2.189129e-02   30
  7.643825e-02   1.485970e-01   8.991328e-10   2.290249e-02   24
  7.746431e-02   1.701738e-01   1.895538e-09   1.593000e-02   72
  7.947671e-02   1.545472e-01   0.000000e+00   6.492879e-02   24
  8.046403e-02   2.190829e-01   0.000000e+00   2.163851e-02   96
  8.143939e-02   1.318056e-01   0.000000e+00   2.290098e-02   48
  8.240320e-02   1.625987e-01   1.557344e-09   2.792147e-02   24
  8.335587e-02   3.238790e-01   1.557344e-09   5.526198e-02   24
  8.429778e-02   1.946540e-01   0.000000e+00   2.524974e-02   72
