# power spectrum of delta_kgb
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   6.627184e-07   0.000000e+00   2.403434e-07   6
  1.777153e-02   5.839156e-06   0.000000e+00   1.262740e-06   12
  2.176559e-02   8.820173e-06   2.384186e-10   2.436995e-06   8
  2.513274e-02   1.608936e-05   0.000000e+00   4.340736e-06   6
  2.809926e-02   2.135361e-05   0.000000e+00   2.711190e-06   24
  3.078120e-02   2.883322e-05   4.495664e-10   5.460995e-06   24
  3.554306e-02   1.421584e-05   0.000000e+00   3.274683e-06   12
  3.769911e-02   4.950103e-05   5.086263e-10   5.458466e-06   30
  3.973835e-02   3.668566e-05   0.000000e+00   6.416715e-06   24
  4.167794e-02   5.260726e-05   7.786718e-10   1.017465e-05   24
  4.353118e-02   1.188850e-04   4.768372e-10   4.116943e-05   8
  4.530869e-02   5.399515e-05   6.357829e-10   9.636902e-06   24
  4.701905e-02   5.638512e-05   0.000000e+00   6.225136e-06   48
  5.026548e-02   5.673364e-05   0.000000e+00   2.666909e-06   6
  5.181247e-02   1.014446e-04   8.991328e-10   1.055707e-05   48
  5.331460e-02   1.042036e-04   0.000000e+00   1.456843e-05   36
  5.477554e-02   5.755403e-05   6.357829e-10   1.441840e-05   24
  5.619852e-02   8.121429e-05   0.000000e+00   1.204420e-05   24
  5.758634e-02   9.323830e-05   0.000000e+00   1.179041e-05   48
  5.894150e-02   1.649020e-04   8.991328e-10   3.017079e-05   24
  6.156239e-02   1.125731e-04   8.991328e-10   2.237778e-05   24
  6.283185e-02   1.448160e-04   0.000000e+00   2.331310e-05   30
  6.407617e-02   1.519140e-04   0.000000e+00   1.442559e-05   72
  6.529678e-02   1.796678e-04   9.536743e-10   2.680556e-05   32
  6.767198e-02   1.415488e-04   0.000000e+00   2.124408e-05   72
  6.882885e-02   1.518451e-04   0.000000e+00   1.856096e-05   48
  7.108613e-02   9.292373e-05   0.000000e+00   1.733938e-05   12
  7.218830e-02   2.038536e-04   0.000000e+00   2.550223e-05   48
  7.327390e-02   2.041679e-04   0.000000e+00   2.792135e-05   48
  7.434365e-02   1.410094e-04   8.991328e-10   1.992747e-05   48
  7.539822e-02   1.527250e-04   1.017253e-09   2.270250e-05   30
  7.643825e-02   1.722739e-04   8.991328e-10   2.436106e-05   24
  7.746431e-02   1.954245e-04   1.895538e-09   1.708750e-05   72
  7.947671e-02   1.751586e-04   0.000000e+00   6.783353e-05   24
  8.046403e-02   2.520603e-04   0.000000e+00   2.289505e-05   96
  8.143939e-02   1.495312e-04   0.000000e+00   2.454632e-05   48
  8.240320e-02   1.876759e-04   1.557344e-09   2.964888e-05   24
  8.335587e-02   3.740423e-04   1.557344e-09   5.959746e-05   24
  8.429778e-02   2.249075e-04   0.000000e+00   2.715946e-05   72
  8.522927e-02   2.434802e-04   0.000000e+00   3.082263e-05   48
  8.706237e-02   3.578760e-04   9.536743e-10   1.175779e-04   8
