# cross power spectrum of delta_m and  delta_kgb
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   2.810087e-05   0.000000e+00   1.044079e-05   6
  1.777153e-02   2.227434e-04   0.000000e+00   4.934469e-05   12
  2.176559e-02   3.100154e-04   2.384186e-10   8.797841e-05   8
  2.513274e-02   5.311980e-04   0.000000e+00   1.442841e-04   6
  2.809926e-02   6.884818e-04   0.000000e+00   8.993460e-05   24
  3.078120e-02   8.866898e-04   4.495664e-10   1.734053e-04   24
  3.554306e-02   4.295358e-04   0.000000e+00   1.014452e-04   12
  3.769911e-02   1.452650e-03   5.086263e-10   1.619248e-04   30
  3.973835e-02   1.062352e-03   0.000000e+00   1.938226e-04   24
  4.167794e-02   1.535924e-03   7.786718e-10   3.057695e-04   24
  4.353118e-02   3.469915e-03   4.768372e-10   1.236693e-03   8
  4.530869e-02   1.597184e-03   6.357829e-10   2.942582e-04   24
  4.701905e-02   1.616813e-03   0.000000e+00   1.842409e-04   48
  5.026548e-02   1.652554e-03   0.000000e+00   7.574158e-05   6
  5.181247e-02   2.949315e-03   8.991328e-10   3.177621e-04   48
  5.331460e-02   3.003543e-03   0.000000e+00   4.363536e-04   36
  5.477554e-02   1.671280e-03   6.357829e-10   4.406242e-04   24
  5.619852e-02   2.326414e-03   0.000000e+00   3.655862e-04   24
  5.758634e-02   2.736940e-03   0.000000e+00   3.643257e-04   48
  5.894150e-02   4.783060e-03   8.991328e-10   9.115612e-04   24
  6.156239e-02   3.278898e-03   8.991328e-10   6.791971e-04   24
  6.283185e-02   4.237028e-03   0.000000e+00   7.168999e-04   30
  6.407617e-02   4.447416e-03   0.000000e+00   4.422707e-04   72
  6.529678e-02   5.282968e-03   9.536743e-10   8.290048e-04   32
  6.767198e-02   4.194201e-03   0.000000e+00   6.510519e-04   72
  6.882885e-02   4.449731e-03   0.000000e+00   5.672790e-04   48
  7.108613e-02   2.776780e-03   0.000000e+00   5.356178e-04   12
  7.218830e-02   5.996842e-03   0.000000e+00   7.791273e-04   48
  7.327390e-02   6.015662e-03   0.000000e+00   8.550042e-04   48
  7.434365e-02   4.163849e-03   8.991328e-10   6.126376e-04   48
