# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   7.182476e-19   0.000000e+00   2.207770e-19   6
  1.777153e-02   4.867347e-19   0.000000e+00   4.841021e-20   12
  2.176559e-02   1.856533e-19   2.384186e-10   2.671310e-20   8
  2.513274e-02   2.186738e-19   0.000000e+00   1.444286e-20   6
  2.809926e-02   1.853679e-19   0.000000e+00   2.023562e-20   24
  3.078120e-02   7.768558e-20   4.495664e-10   1.234829e-20   24
  3.554306e-02   8.754958e-20   0.000000e+00   1.175889e-20   12
  3.769911e-02   3.840947e-20   5.086263e-10   3.890685e-21   30
  3.973835e-02   4.135699e-20   0.000000e+00   5.545883e-21   24
  4.167794e-02   4.606740e-20   7.786718e-10   7.141277e-21   24
  4.353118e-02   2.858894e-20   4.768372e-10   4.449929e-21   8
  4.530869e-02   2.602387e-20   6.357829e-10   3.085197e-21   24
  4.701905e-02   2.197059e-20   0.000000e+00   1.896049e-21   48
  5.026548e-02   2.401807e-20   0.000000e+00   4.463257e-21   6
  5.181247e-02   1.529536e-20   8.991328e-10   1.543781e-21   48
  5.331460e-02   1.833187e-20   0.000000e+00   1.956049e-21   36
  5.477554e-02   1.364620e-20   6.357829e-10   2.098612e-21   24
  5.619852e-02   1.378452e-20   0.000000e+00   2.143366e-21   24
  5.758634e-02   1.020689e-20   0.000000e+00   1.127147e-21   48
  5.894150e-02   1.154377e-20   8.991328e-10   1.447809e-21   24
  6.156239e-02   7.626584e-21   8.991328e-10   7.882858e-22   24
  6.283185e-02   1.055515e-20   0.000000e+00   1.739518e-21   30
  6.407617e-02   6.534146e-21   0.000000e+00   4.488209e-22   72
  6.529678e-02   6.514398e-21   9.536743e-10   5.944648e-22   32
  6.767198e-02   6.407217e-21   0.000000e+00   5.603464e-22   72
  6.882885e-02   5.192235e-21   0.000000e+00   4.816185e-22   48
  7.108613e-02   5.434426e-21   0.000000e+00   1.100598e-21   12
  7.218830e-02   4.739333e-21   0.000000e+00   3.893605e-22   48
  7.327390e-02   4.848476e-21   0.000000e+00   3.515999e-22   48
  7.434365e-02   3.903323e-21   8.991328e-10   4.065948e-22   48
  7.539822e-02   3.949839e-21   1.017253e-09   5.108977e-22   30
  7.643825e-02   3.511387e-21   8.991328e-10   2.974195e-22   24
  7.746431e-02   3.718276e-21   1.895538e-09   2.529224e-22   72
  7.947671e-02   2.541544e-21   0.000000e+00   3.471292e-22   24
  8.046403e-02   2.431403e-21   0.000000e+00   1.467815e-22   96
  8.143939e-02   3.021953e-21   0.000000e+00   2.603414e-22   48
  8.240320e-02   2.369589e-21   1.557344e-09   2.599095e-22   24
  8.335587e-02   2.889809e-21   1.557344e-09   4.431393e-22   24
  8.429778e-02   2.169817e-21   0.000000e+00   1.344996e-22   72
  8.522927e-02   2.605921e-21   0.000000e+00   1.933521e-22   48
  8.706237e-02   1.826354e-21   9.536743e-10   5.877481e-23   8
  8.796459e-02   1.799122e-21   1.130281e-09   2.153854e-22   54
  8.885766e-02   1.668950e-21   0.000000e+00   1.195275e-22   84
  8.974184e-02   1.602393e-21   0.000000e+00   2.177583e-22   48
  9.061739e-02   2.008113e-21   1.271566e-09   1.760320e-22   24
  9.148456e-02   1.594775e-21   1.198844e-09   1.728748e-22   72
  9.234359e-02   1.546356e-21   0.000000e+00   1.503355e-22   96
  9.403811e-02   1.164345e-21   0.000000e+00   1.195498e-22   48
  9.487402e-02   1.599448e-21   0.000000e+00   1.509853e-22   48
  9.570263e-02   1.016940e-21   1.271566e-09   1.219571e-22   24
  9.652412e-02   1.250423e-21   0.000000e+00   8.471795e-23   72
  9.814649e-02   1.175776e-21   1.198844e-09   9.090612e-23   72
  9.894770e-02   9.351825e-22   0.000000e+00   5.841244e-23   96
  1.005310e-01   1.080228e-21   0.000000e+00   2.445819e-22   6
  1.013133e-01   1.062184e-21   0.000000e+00   8.260417e-23   96
