# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   1.409202e-10   0.000000e+00   5.172301e-11   6
  1.777153e-02   2.511376e-10   0.000000e+00   5.496674e-11   12
  2.176559e-02   1.430419e-10   2.384186e-10   4.021325e-11   8
  2.513274e-02   1.301342e-10   0.000000e+00   3.443931e-11   6
  2.809926e-02   1.050182e-10   0.000000e+00   1.359236e-11   24
  3.078120e-02   8.961810e-11   4.495664e-10   1.744441e-11   24
  3.554306e-02   2.396422e-11   0.000000e+00   5.611943e-12   12
  3.769911e-02   6.235906e-11   5.086263e-10   6.854430e-12   30
  3.973835e-02   3.663166e-11   0.000000e+00   6.705366e-12   24
  4.167794e-02   4.391453e-11   7.786718e-10   8.681909e-12   24
  4.353118e-02   8.272353e-11   4.768372e-10   2.925575e-11   8
  4.530869e-02   3.297438e-11   6.357829e-10   6.039110e-12   24
  4.701905e-02   2.801882e-11   0.000000e+00   3.179621e-12   48
  5.026548e-02   2.251960e-11   0.000000e+00   1.042452e-12   6
  5.181247e-02   3.524981e-11   8.991328e-10   3.806021e-12   48
  5.331460e-02   3.180868e-11   0.000000e+00   4.636756e-12   36
  5.477554e-02   1.589635e-11   6.357829e-10   4.228199e-12   24
  5.619852e-02   1.992481e-11   0.000000e+00   3.183563e-12   24
  5.758634e-02   2.160266e-11   0.000000e+00   2.902406e-12   48
  5.894150e-02   3.381137e-11   8.991328e-10   6.467120e-12   24
  6.156239e-02   1.965815e-11   8.991328e-10   4.087657e-12   24
  6.283185e-02   2.364049e-11   0.000000e+00   4.065981e-12   30
  6.407617e-02   2.299080e-11   0.000000e+00   2.305011e-12   72
  6.529678e-02   2.538865e-11   9.536743e-10   4.014490e-12   32
  6.767198e-02   1.750119e-11   0.000000e+00   2.707260e-12   72
  6.882885e-02   1.735450e-11   0.000000e+00   2.220740e-12   48
  7.108613e-02   9.515468e-12   0.000000e+00   1.828147e-12   12
  7.218830e-02   1.922757e-11   0.000000e+00   2.507651e-12   48
  7.327390e-02   1.810709e-11   0.000000e+00   2.579015e-12   48
  7.434365e-02   1.192997e-11   8.991328e-10   1.761951e-12   48
  7.539822e-02   1.209122e-11   1.017253e-09   1.940415e-12   30
  7.643825e-02   1.323344e-11   8.991328e-10   1.968086e-12   24
  7.746431e-02   1.401448e-11   1.895538e-09   1.266575e-12   72
  7.947671e-02   1.162927e-11   0.000000e+00   4.704938e-12   24
  8.046403e-02   1.558093e-11   0.000000e+00   1.484764e-12   96
  8.143939e-02   8.797169e-12   0.000000e+00   1.486666e-12   48
  8.240320e-02   1.033434e-11   1.557344e-09   1.715056e-12   24
  8.335587e-02   2.006270e-11   1.557344e-09   3.320002e-12   24
  8.429778e-02   1.140479e-11   0.000000e+00   1.435903e-12   72
  8.522927e-02   1.192589e-11   0.000000e+00   1.576672e-12   48
  8.706237e-02   1.548865e-11   9.536743e-10   5.451508e-12   8
  8.796459e-02   1.044732e-11   1.130281e-09   9.724985e-13   54
  8.885766e-02   1.190565e-11   0.000000e+00   1.412908e-12   84
  8.974184e-02   7.920634e-12   0.000000e+00   1.071960e-12   48
  9.061739e-02   7.808269e-12   1.271566e-09   2.010861e-12   24
  9.148456e-02   8.461358e-12   1.198844e-09   9.748463e-13   72
  9.234359e-02   7.881047e-12   0.000000e+00   6.902638e-13   96
  9.403811e-02   7.029176e-12   0.000000e+00   7.544834e-13   48
  9.487402e-02   6.711395e-12   0.000000e+00   8.336289e-13   48
  9.570263e-02   5.070718e-12   1.271566e-09   1.127730e-12   24
  9.652412e-02   6.001720e-12   0.000000e+00   7.034680e-13   72
  9.814649e-02   6.790595e-12   1.198844e-09   7.978175e-13   72
  9.894770e-02   5.951138e-12   0.000000e+00   5.351170e-13   96
  1.005310e-01   1.440435e-12   0.000000e+00   5.985580e-13   6
  1.013133e-01   5.984173e-12   0.000000e+00   6.555008e-13   96
  1.020897e-01   5.933684e-12   1.271566e-09   4.889148e-13   96
  1.028602e-01   7.351684e-12   0.000000e+00   1.279143e-12   24
  1.036249e-01   5.693705e-12   1.798266e-09   7.936267e-13   48
  1.043841e-01   4.200472e-12   0.000000e+00   3.946643e-13   96
  1.051378e-01   4.056079e-12   0.000000e+00   4.979242e-13   48
  1.066292e-01   5.653372e-12   0.000000e+00   1.077997e-12   36
  1.073671e-01   3.960969e-12   2.202416e-09   7.529737e-13   48
  1.081000e-01   4.840676e-12   2.491750e-09   4.651016e-13   120
  1.088280e-01   5.600051e-12   0.000000e+00   6.282794e-13   56
  1.095511e-01   2.858694e-12   1.271566e-09   6.816491e-13   24
  1.102695e-01   3.738473e-12   0.000000e+00   3.435425e-13   96
  1.109832e-01   5.427431e-12   0.000000e+00   7.446259e-13   48
  1.123970e-01   3.875022e-12   0.000000e+00   7.497967e-13   24
  1.130973e-01   5.171842e-12   0.000000e+00   4.625188e-13   102
  1.137933e-01   6.108921e-12   0.000000e+00   1.240998e-12   48
  1.144851e-01   6.197003e-12   0.000000e+00   5.795134e-13   72
  1.151727e-01   3.946498e-12   0.000000e+00   6.071820e-13   48
  1.158562e-01   5.815972e-12   0.000000e+00   1.006975e-12   48
  1.165357e-01   4.739628e-12   2.877225e-09   4.506184e-13   120
  1.178830e-01   2.214861e-12   1.798266e-09   4.579914e-13   24
  1.185509e-01   4.174005e-12   1.695421e-09   3.207538e-13   144
  1.192151e-01   3.781284e-12   2.034505e-09   3.352755e-13   120
  1.198755e-01   5.211460e-12   1.798266e-09   7.047395e-13   48
  1.211857e-01   3.701588e-12   1.798266e-09   6.004168e-13   48
  1.218355e-01   3.763160e-12   1.798266e-09   4.406963e-13   96
  1.235512e-01   3.451253e-12   3.015167e-04   5.272140e-13   72
  1.244007e-01   3.722818e-12   2.260561e-09   3.427253e-13   108
  1.250338e-01   3.125697e-12   0.000000e+00   3.497220e-13   72
  1.256637e-01   4.315299e-12   0.000000e+00   5.695069e-13   30
