# power spectrum of phi_prime/H0 (dimensionless)
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   1.776796e-11   0.000000e+00   6.907067e-12   6
  1.777153e-02   3.053660e-11   0.000000e+00   7.278946e-12   12
  2.176559e-02   1.741412e-11   2.384186e-10   5.326761e-12   8
  2.513274e-02   1.631410e-11   0.000000e+00   5.259218e-12   6
  2.809926e-02   1.185338e-11   0.000000e+00   1.694107e-12   24
  3.078120e-02   1.132102e-11   4.495664e-10   2.393716e-12   24
  3.554306e-02   2.715304e-12   0.000000e+00   7.825910e-13   12
  3.769911e-02   7.980370e-12   5.086263e-10   1.169296e-12   30
  3.973835e-02   4.953358e-12   0.000000e+00   9.255668e-13   24
  4.167794e-02   5.326697e-12   7.786718e-10   1.228839e-12   24
  4.353118e-02   1.002279e-11   4.768372e-10   4.116065e-12   8
  4.530869e-02   3.526470e-12   6.357829e-10   7.347340e-13   24
  4.701905e-02   4.189087e-12   0.000000e+00   5.477070e-13   48
  5.026548e-02   2.926167e-12   0.000000e+00   4.784544e-13   6
  5.181247e-02   4.785392e-12   8.991328e-10   6.028461e-13   48
  5.331460e-02   4.866785e-12   0.000000e+00   7.940862e-13   36
  5.477554e-02   2.488078e-12   6.357829e-10   5.742267e-13   24
  5.619852e-02   3.641254e-12   0.000000e+00   5.536727e-13   24
  5.758634e-02   2.980876e-12   0.000000e+00   3.809096e-13   48
  5.894150e-02   5.745202e-12   8.991328e-10   1.096756e-12   24
  6.156239e-02   3.473737e-12   8.991328e-10   7.375433e-13   24
  6.283185e-02   3.724771e-12   0.000000e+00   6.244157e-13   30
  6.407617e-02   3.698562e-12   0.000000e+00   3.742813e-13   72
  6.529678e-02   3.732594e-12   9.536743e-10   5.584842e-13   32
  6.767198e-02   2.577977e-12   0.000000e+00   4.513651e-13   72
  6.882885e-02   2.920429e-12   0.000000e+00   3.723587e-13   48
  7.108613e-02   1.093823e-12   0.000000e+00   2.470987e-13   12
  7.218830e-02   3.099156e-12   0.000000e+00   4.221134e-13   48
  7.327390e-02   2.951652e-12   0.000000e+00   4.434424e-13   48
  7.434365e-02   1.828877e-12   8.991328e-10   2.829997e-13   48
  7.539822e-02   2.220019e-12   1.017253e-09   3.289650e-13   30
  7.643825e-02   2.355883e-12   8.991328e-10   4.104866e-13   24
  7.746431e-02   2.230242e-12   1.895538e-09   2.627302e-13   72
  7.947671e-02   1.686026e-12   0.000000e+00   5.726460e-13   24
  8.046403e-02   2.597683e-12   0.000000e+00   2.538394e-13   96
  8.143939e-02   1.388473e-12   0.000000e+00   2.636333e-13   48
  8.240320e-02   2.132296e-12   1.557344e-09   3.679513e-13   24
  8.335587e-02   3.369361e-12   1.557344e-09   8.036429e-13   24
  8.429778e-02   2.109027e-12   0.000000e+00   2.994033e-13   72
  8.522927e-02   2.321549e-12   0.000000e+00   3.686654e-13   48
  8.706237e-02   3.098007e-12   9.536743e-10   9.187810e-13   8
  8.796459e-02   1.618763e-12   1.130281e-09   1.812522e-13   54
  8.885766e-02   1.635708e-12   0.000000e+00   1.986158e-13   84
  8.974184e-02   1.423580e-12   0.000000e+00   1.805011e-13   48
  9.061739e-02   1.548357e-12   1.271566e-09   4.328428e-13   24
  9.148456e-02   1.760804e-12   1.198844e-09   2.120205e-13   72
  9.234359e-02   1.703503e-12   0.000000e+00   1.532598e-13   96
  9.403811e-02   1.822050e-12   0.000000e+00   2.163013e-13   48
  9.487402e-02   1.573200e-12   0.000000e+00   1.828925e-13   48
  9.570263e-02   1.915836e-12   1.271566e-09   4.574481e-13   24
  9.652412e-02   1.364303e-12   0.000000e+00   1.749726e-13   72
  9.814649e-02   1.425884e-12   1.198844e-09   1.805154e-13   72
  9.894770e-02   9.335755e-13   0.000000e+00   8.661100e-14   96
  1.005310e-01   3.433306e-13   0.000000e+00   1.360642e-13   6
  1.013133e-01   9.268298e-13   0.000000e+00   1.098710e-13   96
  1.020897e-01   1.278748e-12   1.271566e-09   9.923072e-14   96
  1.028602e-01   8.626816e-13   0.000000e+00   7.507849e-14   24
  1.036249e-01   1.309349e-12   1.798266e-09   1.624152e-13   48
  1.043841e-01   1.018478e-12   0.000000e+00   1.017940e-13   96
  1.051378e-01   1.108143e-12   0.000000e+00   1.359005e-13   48
  1.066292e-01   1.046999e-12   0.000000e+00   1.551871e-13   36
  1.073671e-01   1.000501e-12   2.202416e-09   1.598541e-13   48
  1.081000e-01   1.052720e-12   2.491750e-09   8.240552e-14   120
  1.088280e-01   9.574378e-13   0.000000e+00   1.190153e-13   56
  1.095511e-01   6.338938e-13   1.271566e-09   1.871093e-13   24
  1.102695e-01   1.058284e-12   0.000000e+00   1.012252e-13   96
  1.109832e-01   9.488959e-13   0.000000e+00   1.659292e-13   48
  1.123970e-01   8.821505e-13   0.000000e+00   1.710967e-13   24
  1.130973e-01   1.105445e-12   0.000000e+00   9.679400e-14   102
  1.137933e-01   1.338749e-12   0.000000e+00   1.944080e-13   48
  1.144851e-01   1.571524e-12   0.000000e+00   1.634337e-13   72
  1.151727e-01   1.132608e-12   0.000000e+00   1.725985e-13   48
  1.158562e-01   1.003228e-12   0.000000e+00   1.476083e-13   48
  1.165357e-01   1.057369e-12   2.877225e-09   1.068600e-13   120
  1.178830e-01   7.835181e-13   1.798266e-09   1.445912e-13   24
  1.185509e-01   9.768772e-13   1.695421e-09   7.359630e-14   144
  1.192151e-01   1.158684e-12   2.034505e-09   1.279316e-13   120
  1.198755e-01   9.728341e-13   1.798266e-09   1.244668e-13   48
  1.211857e-01   1.147033e-12   1.798266e-09   1.799178e-13   48
  1.218355e-01   1.005487e-12   1.798266e-09   1.028498e-13   96
  1.235512e-01   8.849283e-13   3.015167e-04   1.104998e-13   72
  1.244007e-01   1.006771e-12   2.260561e-09   1.167900e-13   108
  1.250338e-01   8.569991e-13   0.000000e+00   8.377957e-14   72
  1.256637e-01   8.672297e-13   0.000000e+00   1.433420e-13   30
  1.262905e-01   8.697772e-13   0.000000e+00   7.001262e-14   168
  1.269141e-01   1.029227e-12   0.000000e+00   1.370781e-13   48
  1.281523e-01   8.059781e-13   0.000000e+00   9.156569e-14   72
  1.287670e-01   9.538190e-13   0.000000e+00   1.245274e-13   96
  1.293787e-01   9.218939e-13   3.390842e-09   1.066231e-13   72
  1.299875e-01   7.812636e-13   0.000000e+00   6.807140e-14   72
  1.310112e-01   7.750101e-13   2.784031e-04   7.376521e-14   104
  1.317972e-01   9.871009e-13   2.397687e-09   8.908381e-14   144
  1.335824e-01   9.514043e-13   4.021044e-09   1.057192e-13   96
  1.341721e-01   6.176827e-13   0.000000e+00   4.779771e-14   96
  1.351101e-01   7.266934e-13   2.864148e-04   7.050741e-14   120
  1.359261e-01   6.861185e-13   0.000000e+00   6.248057e-14   120
