# power spectrum of pi_k * H0 (dimensionless)
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   1.123159e-10   0.000000e+00   4.093228e-11   6
  1.777153e-02   1.330997e-10   0.000000e+00   2.894841e-11   12
  2.176559e-02   4.957978e-11   2.384186e-10   1.379642e-11   8
  2.513274e-02   2.879110e-11   0.000000e+00   7.618346e-12   6
  2.809926e-02   1.401044e-11   0.000000e+00   1.783568e-12   24
  3.078120e-02   6.896089e-12   4.495664e-10   1.311650e-12   24
  3.554306e-02   4.756811e-13   0.000000e+00   1.067235e-13   12
  3.769911e-02   4.212728e-13   5.086263e-10   4.287388e-14   30
  3.973835e-02   4.773687e-14   0.000000e+00   8.721442e-15   24
  4.167794e-02   9.892094e-15   7.786718e-10   3.383603e-15   24
  4.353118e-02   1.645982e-13   4.768372e-10   6.230055e-14   8
  4.530869e-02   1.556780e-13   6.357829e-10   3.203689e-14   24
  4.701905e-02   3.302022e-13   0.000000e+00   3.924784e-14   48
  5.026548e-02   4.748292e-13   0.000000e+00   4.685384e-14   6
  5.181247e-02   9.887632e-13   8.991328e-10   1.086661e-13   48
  5.331460e-02   1.140128e-12   0.000000e+00   1.642705e-13   36
  5.477554e-02   6.559357e-13   6.357829e-10   1.603900e-13   24
  5.619852e-02   1.005394e-12   0.000000e+00   1.461007e-13   24
  5.758634e-02   1.086360e-12   0.000000e+00   1.368365e-13   48
  5.894150e-02   2.012801e-12   8.991328e-10   3.772129e-13   24
  6.156239e-02   1.359369e-12   8.991328e-10   2.759593e-13   24
  6.283185e-02   1.714355e-12   0.000000e+00   2.763034e-13   30
  6.407617e-02   1.778567e-12   0.000000e+00   1.712513e-13   72
  6.529678e-02   2.053814e-12   9.536743e-10   3.050773e-13   32
  6.767198e-02   1.525051e-12   0.000000e+00   2.390443e-13   72
  6.882885e-02   1.642300e-12   0.000000e+00   2.049883e-13   48
  7.108613e-02   9.103539e-13   0.000000e+00   1.772521e-13   12
  7.218830e-02   2.024424e-12   0.000000e+00   2.623198e-13   48
  7.327390e-02   1.966147e-12   0.000000e+00   2.779166e-13   48
  7.434365e-02   1.322007e-12   8.991328e-10   1.917338e-13   48
  7.539822e-02   1.406031e-12   1.017253e-09   2.091815e-13   30
  7.643825e-02   1.580387e-12   8.991328e-10   2.294463e-13   24
  7.746431e-02   1.686996e-12   1.895538e-09   1.530215e-13   72
  7.947671e-02   1.429155e-12   0.000000e+00   5.665949e-13   24
  8.046403e-02   2.028602e-12   0.000000e+00   1.886170e-13   96
  8.143939e-02   1.148225e-12   0.000000e+00   1.975047e-13   48
  8.240320e-02   1.417648e-12   1.557344e-09   2.309795e-13   24
  8.335587e-02   2.776275e-12   1.557344e-09   4.615059e-13   24
  8.429778e-02   1.615403e-12   0.000000e+00   2.025553e-13   72
  8.522927e-02   1.716900e-12   0.000000e+00   2.247943e-13   48
  8.706237e-02   2.383992e-12   9.536743e-10   7.857805e-13   8
  8.796459e-02   1.541675e-12   1.130281e-09   1.404711e-13   54
  8.885766e-02   1.760728e-12   0.000000e+00   2.058448e-13   84
  8.974184e-02   1.210971e-12   0.000000e+00   1.600026e-13   48
  9.061739e-02   1.214790e-12   1.271566e-09   3.102989e-13   24
  9.148456e-02   1.351085e-12   1.198844e-09   1.518919e-13   72
  9.234359e-02   1.265657e-12   0.000000e+00   1.066448e-13   96
  9.403811e-02   1.175665e-12   0.000000e+00   1.251160e-13   48
  9.487402e-02   1.130756e-12   0.000000e+00   1.355032e-13   48
  9.570263e-02   8.796546e-13   1.271566e-09   1.929503e-13   24
  9.652412e-02   1.013047e-12   0.000000e+00   1.195575e-13   72
  9.814649e-02   1.167279e-12   1.198844e-09   1.354472e-13   72
  9.894770e-02   1.002947e-12   0.000000e+00   8.917826e-14   96
  1.005310e-01   2.283815e-13   0.000000e+00   9.774608e-14   6
  1.013133e-01   1.037304e-12   0.000000e+00   1.130448e-13   96
  1.020897e-01   1.061692e-12   1.271566e-09   8.416559e-14   96
  1.028602e-01   1.282439e-12   0.000000e+00   2.154017e-13   24
  1.036249e-01   1.035480e-12   1.798266e-09   1.428304e-13   48
  1.043841e-01   7.592211e-13   0.000000e+00   6.893663e-14   96
  1.051378e-01   7.502286e-13   0.000000e+00   8.770860e-14   48
  1.066292e-01   1.042690e-12   0.000000e+00   1.948988e-13   36
  1.073671e-01   7.435662e-13   2.202416e-09   1.362212e-13   48
  1.081000e-01   9.038134e-13   2.491750e-09   8.465336e-14   120
  1.088280e-01   1.045037e-12   0.000000e+00   1.144154e-13   56
  1.095511e-01   5.293846e-13   1.271566e-09   1.205996e-13   24
  1.102695e-01   7.229618e-13   0.000000e+00   6.559196e-14   96
  1.109832e-01   1.034772e-12   0.000000e+00   1.420637e-13   48
  1.123970e-01   7.638743e-13   0.000000e+00   1.439241e-13   24
  1.130973e-01   1.012091e-12   0.000000e+00   8.772746e-14   102
  1.137933e-01   1.197942e-12   0.000000e+00   2.359853e-13   48
  1.144851e-01   1.241958e-12   0.000000e+00   1.129966e-13   72
  1.151727e-01   7.866473e-13   0.000000e+00   1.215107e-13   48
  1.158562e-01   1.149538e-12   0.000000e+00   1.961993e-13   48
  1.165357e-01   9.561284e-13   2.877225e-09   8.874916e-14   120
  1.178830e-01   4.584227e-13   1.798266e-09   9.352039e-14   24
  1.185509e-01   8.468661e-13   1.695421e-09   6.394663e-14   144
  1.192151e-01   7.890042e-13   2.034505e-09   6.963927e-14   120
  1.198755e-01   1.062862e-12   1.798266e-09   1.404562e-13   48
  1.211857e-01   7.927398e-13   1.798266e-09   1.248471e-13   48
  1.218355e-01   7.912223e-13   1.798266e-09   9.007400e-14   96
  1.235512e-01   7.229246e-13   3.015167e-04   1.095474e-13   72
  1.244007e-01   7.961273e-13   2.260561e-09   7.321191e-14   108
  1.250338e-01   6.701846e-13   0.000000e+00   7.334313e-14   72
  1.256637e-01   9.105226e-13   0.000000e+00   1.156856e-13   30
  1.262905e-01   8.398802e-13   0.000000e+00   6.098864e-14   168
  1.269141e-01   9.482045e-13   0.000000e+00   1.526555e-13   48
  1.281523e-01   7.982673e-13   0.000000e+00   8.467485e-14   72
  1.287670e-01   9.362894e-13   0.000000e+00   8.538493e-14   96
  1.293787e-01   6.757941e-13   3.390842e-09   6.006148e-14   72
  1.299875e-01   6.945001e-13   0.000000e+00   6.695625e-14   72
  1.310112e-01   5.572696e-13   2.784031e-04   4.641196e-14   104
  1.317972e-01   7.620367e-13   2.397687e-09   6.489054e-14   144
  1.335824e-01   8.756382e-13   4.021044e-09   9.441115e-14   96
  1.341721e-01   5.531802e-13   0.000000e+00   6.121110e-14   96
  1.351101e-01   5.432520e-13   2.864148e-04   5.165952e-14   120
  1.359261e-01   5.776567e-13   0.000000e+00   6.379705e-14   120
  1.365057e-01   7.737135e-13   0.000000e+00   7.817451e-14   72
  1.376577e-01   8.546258e-13   0.000000e+00   1.037230e-13   48
  1.382301e-01   4.916488e-13   2.710666e-09   4.800252e-14   78
  1.389623e-01   5.328902e-13   2.564571e-04   3.967475e-14   168
  1.404963e-01   6.378509e-13   2.397687e-09   6.529947e-14   144
  1.410572e-01   7.525112e-13   2.397687e-09   5.625694e-14   144
  1.426839e-01   6.330193e-13   1.476986e-04   4.963398e-14   156
  1.432787e-01   5.298477e-13   3.114687e-09   7.082638e-14   48
  1.438287e-01   5.542527e-13   2.034505e-09   5.487919e-14   120
  1.443766e-01   6.066922e-13   0.000000e+00   8.198227e-14   48
  1.453454e-01   4.645733e-13   2.260797e-04   3.107059e-14   216
  1.465478e-01   4.597002e-13   0.000000e+00   7.313696e-14   48
  1.470856e-01   4.193703e-13   1.798266e-09   5.606765e-14   96
  1.478502e-01   4.754363e-13   2.642094e-04   3.662162e-14   168
  1.486873e-01   3.991740e-13   1.798266e-09   5.262669e-14   48
  1.492174e-01   4.663638e-13   0.000000e+00   4.346375e-14   96
  1.497456e-01   3.205533e-13   0.000000e+00   4.189996e-14   48
  1.507964e-01   3.868626e-13   2.034505e-09   5.818254e-14   30
  1.513191e-01   5.479579e-13   1.798266e-09   5.564093e-14   96
  1.519439e-01   4.833139e-13   2.076451e-04   3.176790e-14   240
  1.527472e-01   4.603121e-13   2.240191e-04   1.022826e-13   32
  1.533921e-01   3.584868e-13   0.000000e+00   2.053084e-14   168
  1.539060e-01   4.806207e-13   0.000000e+00   3.793862e-14   120
  1.549286e-01   5.148997e-13   3.791077e-09   6.028074e-14   72
  1.554374e-01   4.283889e-13   2.397687e-09   3.063540e-14   144
  1.559446e-01   3.858668e-13   0.000000e+00   4.356821e-14   96
  1.564501e-01   3.732885e-13   0.000000e+00   3.997835e-14   96
  1.574562e-01   7.115171e-13   2.936555e-09   8.046647e-14   72
  1.579568e-01   3.999756e-13   2.543132e-09   5.294749e-14   96
  1.589534e-01   5.727494e-13   0.000000e+00   1.545670e-13   24
  1.594494e-01   4.538368e-13   0.000000e+00   3.185779e-14   192
  1.600334e-01   3.554818e-13   1.901066e-04   3.452908e-14   132
  1.609281e-01   2.882554e-13   0.000000e+00   2.689250e-14   96
  1.614180e-01   3.092208e-13   0.000000e+00   2.834159e-14   96
  1.619064e-01   3.545032e-13   2.034505e-09   3.316440e-14   120
  1.628788e-01   3.155546e-13   0.000000e+00   4.225738e-14   48
  1.636759e-01   4.143423e-13   2.303939e-04   2.791452e-14   222
  1.643266e-01   2.947260e-13   0.000000e+00   3.884022e-14   120
  1.648064e-01   2.622408e-13   3.114687e-09   5.042693e-14   24
  1.655050e-01   4.029233e-13   2.378000e-04   2.880533e-14   312
