# power spectrum of zeta (dimensionless)
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   7.911432e-12   0.000000e+00   2.825361e-12   6
  1.777153e-02   4.584938e-11   0.000000e+00   9.784428e-12   12
  2.176559e-02   4.840574e-11   2.384186e-10   1.322891e-11   8
  2.513274e-02   6.485004e-11   0.000000e+00   1.710418e-11   6
  2.809926e-02   6.636176e-11   0.000000e+00   8.342940e-12   24
  3.078120e-02   6.950785e-11   4.495664e-10   1.306690e-11   24
  3.554306e-02   2.305532e-11   0.000000e+00   5.242088e-12   12
  3.769911e-02   6.588167e-11   5.086263e-10   7.080151e-12   30
  3.973835e-02   4.119922e-11   0.000000e+00   7.218626e-12   24
  4.167794e-02   5.134726e-11   7.786718e-10   9.791128e-12   24
  4.353118e-02   1.004162e-10   4.768372e-10   3.428178e-11   8
  4.530869e-02   4.105273e-11   6.357829e-10   7.220500e-12   24
  4.701905e-02   3.618728e-11   0.000000e+00   3.945059e-12   48
  5.026548e-02   3.027450e-11   0.000000e+00   1.340849e-12   6
  5.181247e-02   4.790162e-11   8.991328e-10   4.951740e-12   48
  5.331460e-02   4.381383e-11   0.000000e+00   6.115639e-12   36
  5.477554e-02   2.219069e-11   6.357829e-10   5.701240e-12   24
  5.619852e-02   2.781891e-11   0.000000e+00   4.311543e-12   24
  5.758634e-02   3.106960e-11   0.000000e+00   4.033531e-12   48
  5.894150e-02   4.894288e-11   8.991328e-10   8.935842e-12   24
  6.156239e-02   2.902924e-11   8.991328e-10   5.786853e-12   24
  6.283185e-02   3.521862e-11   0.000000e+00   5.864741e-12   30
  6.407617e-02   3.447056e-11   0.000000e+00   3.324744e-12   72
  6.529678e-02   3.841664e-11   9.536743e-10   5.939620e-12   32
  6.767198e-02   2.736037e-11   0.000000e+00   3.996191e-12   72
  6.882885e-02   2.689674e-11   0.000000e+00   3.312997e-12   48
  7.108613e-02   1.558361e-11   0.000000e+00   2.840223e-12   12
  7.218830e-02   3.065813e-11   0.000000e+00   3.788965e-12   48
  7.327390e-02   2.911920e-11   0.000000e+00   3.932736e-12   48
  7.434365e-02   1.929276e-11   8.991328e-10   2.734366e-12   48
  7.539822e-02   1.965386e-11   1.017253e-09   3.149530e-12   30
